id,sk,cs,hu
68,Benátske obranné stavby z obdobia 15. až 17. storočia: Stato da Terra - západná Stato da Mar,Benátské obranné stavby,16-17. századi velencei védművek
69,17 Thetis,Thetis (planetka),17 Thetis
70,17. storočie,17. století,17. század
71,Act of Settlement (1701),Zákon o nástupnictví,1701-es örökösödési törvény
72,Zákony o únii (1707),Zákony o unii z roku 1707,1706-1707-es egyesülési törvények
73,Zemetrasenie v Lisabone,Zemětřesení v Lisabonu 1755,1755-ös lisszaboni földrengés
74,18 Melpomene,Melpomene (planetka),18 Melpomene
75,18. storočie,18. století,18. század
76,1807 Slovakia,Slovakia (planetka),1807 Slovakia
77,1840 Hus,Hus (planetka),1840 Hus
78,40. roky 19. storočia,1840-1849,1840-es évek
79,1841 Masaryk,Masaryk (planetka),1841 Masaryk
80,Uhorská revolúcia,Maďarská revoluce 1848-1849,1848-49-es forradalom és szabadságharc
81,80. roky 19. storočia,1880-1889,1880-as évek
82,90. roky 19. storočia,1890-1899,1890-es évek
83,Letné olympijské hry 1896,Letní olympijské hry 1896,1896. évi nyári olimpiai játékok
84,Talianske futbalové majstrovstvá 1898,Italské fotbalové mistrovství 1898,1898-as olasz labdarúgó-bajnokság (első osztály)
85,Talianske futbalové majstrovstvá 1899,Italské fotbalové mistrovství 1899,1899-es olasz labdarúgó-bajnokság (első osztály)
86,19 (album),19 (album),19 (Adele-album)
87,19 Fortuna,Fortuna (planetka),19 Fortuna
88,Rack,Rack,19 colos rack
89,V ohni,Station 19,19-es körzet
90,19. storočie,19. století,19. század
91,Talianske futbalové majstrovstvá 1900,Italské fotbalové mistrovství 1900,1900-as olasz labdarúgó-bajnokság (első osztály)
92,0. roky 20. storočia,1900-1909,1900-as évek
93,Letné olympijské hry 1900,Letní olympijské hry 1900,1900. évi nyári olimpiai játékok
94,Talianske futbalové majstrovstvá 1901,Italské fotbalové mistrovství 1901,1901-es olasz labdarúgó-bajnokság (első osztály)
95,Talianske futbalové majstrovstvá 1902,Italské fotbalové mistrovství 1902,1902-es olasz labdarúgó-bajnokság (első osztály)
96,Tour de France 1903,Tour de France 1903,1903-as Tour de France
97,Talianske futbalové majstrovstvá 1903,Italské fotbalové mistrovství 1903,1903-as olasz labdarúgó-bajnokság (első osztály)
98,1904 Massevitch,Massevitch (planetka),1904 Massevitch
99,Talianske futbalové majstrovstvá 1904,První kategorie 1904,1904-es olasz labdarúgó-bajnokság (első osztály)
100,Letné olympijské hry 1904,Letní olympijské hry 1904,1904. évi nyári olimpiai játékok
101,Talianske futbalové majstrovstvá 1905,První kategorie 1905,1905-ös olasz labdarúgó-bajnokság (első osztály)
102,Talianske futbalové majstrovstvá 1906,První kategorie 1906,1906-os olasz labdarúgó-bajnokság (első osztály)
103,Talianske futbalové majstrovstvá 1907,První kategorie 1907,1907-es olasz labdarúgó-bajnokság (első osztály)
104,Talianske futbalové majstrovstvá 1908,První kategorie 1908,1908-as olasz labdarúgó-bajnokság (első osztály)
105,Talianske futbalové majstrovstvá 1909,První kategorie 1909,1909-es olasz labdarúgó-bajnokság (első osztály)
106,Talianske futbalové majstrovstvá 1909/1910,První kategorie 1909/10,1909-1910-es olasz labdarúgó-bajnokság (első osztály)
107,10. roky 20. storočia,1910-1919,1910-es évek
108,Talianske futbalové majstrovstvá 1910/1911,První kategorie 1910/11,1910-1911-es olasz labdarúgó-bajnokság (első osztály)
109,Talianske futbalové majstrovstvá 1911/1912,První kategorie 1911/12,1911-1912-es olasz labdarúgó-bajnokság (első osztály)
110,Talianske futbalové majstrovstvá 1912/1913,První kategorie 1912/13,1912-1913-as olasz labdarúgó-bajnokság (első osztály)
111,Majstrovstvá Južnej Ameriky vo futbale 1916,Mistrovství Jižní Ameriky ve fotbale 1916,1916-os Copa América
112,Majstrovstvá Južnej Ameriky vo futbale 1917,Mistrovství Jižní Ameriky ve fotbale 1917,1917-es Copa América
113,Októbrová revolúcia,Říjnová revoluce,1917-es októberi orosz forradalom
114,Ruská revolúcia (1917),Ruská revoluce (1917),1917-es oroszországi forradalmak
115,NHL 1917/1918,NHL 1917/1918,1917-1918-as NHL-szezon
116,NHL 1918/1919,NHL 1918/1919,1918-1919-es NHL-szezon
117,Majstrovstvá Južnej Ameriky vo futbale 1919,Mistrovství Jižní Ameriky ve fotbale 1919,1919-es Copa América
118,Sedemdňová vojna,Sedmidenní válka,1919-es csehszlovák-lengyel háború
119,NHL 1919/1920,NHL 1919/1920,1919-1920-as NHL-szezon
120,Majstrovstvá Južnej Ameriky vo futbale 1920,Mistrovství Jižní Ameriky ve fotbale 1920,1920-as Copa América
121,20. roky 20. storočia,1920-1929,1920-as évek
122,Letné olympijské hry 1920,Letní olympijské hry 1920,1920. évi nyári olimpiai játékok
123,NHL 1920/1921,NHL 1920/1921,1920-1921-es NHL-szezon
124,NHL 1921/1922,NHL 1921/1922,1921-1922-es NHL-szezon
125,NHL 1922/1923,NHL 1922/1923,1922-1923-as NHL-szezon
126,NHL 1923/1924,NHL 1923/1924,1923-1924-es NHL-szezon
127,Letné olympijské hry 1924,Letní olympijské hry 1924,1924. évi nyári olimpiai játékok
128,Zimné olympijské hry 1924,Zimní olympijské hry 1924,1924. évi téli olimpiai játékok
129,NHL 1924/1925,NHL 1924/1925,1924-1925-ös NHL-szezon
130,NHL 1925/1926,NHL 1925/1926,1925-1926-os NHL-szezon
131,1926 v športe,1926 ve sportu,1926 a sportban
132,NHL 1926/1927,NHL 1926/1927,1926-1927-es NHL-szezon
133,NHL 1927/1928,NHL 1927/1928,1927-1928-as NHL-szezon
134,Letné olympijské hry 1928,Letní olympijské hry 1928,1928. évi nyári olimpiai játékok
135,Zimné olympijské hry 1928,Zimní olympijské hry 1928,1928. évi téli olimpiai játékok
136,NHL 1928/1929,NHL 1928/1929,1928-1929-es NHL-szezon
137,NHL 1929/1930,NHL 1929/1930,1929-1930-as NHL-szezon
138,Serie A 1929/1930,Serie A 1929/30,1929-1930-as olasz labdarúgó-bajnokság (első osztály)
139,Majstrovstvá sveta v ľadovom hokeji 1930,Mistrovství světa v ledním hokeji 1930,1930-as jégkorong-világbajnokság
140,Majstrovstvá sveta vo futbale 1930,Mistrovství světa ve fotbale 1930,1930-as labdarúgó-világbajnokság
141,30. roky 20. storočia,1930-1939,1930-as évek
142,NHL 1930/1931,NHL 1930/1931,1930-1931-es NHL-szezon
143,Serie A 1930/1931,Serie A 1930/31,1930-1931-es olasz labdarúgó-bajnokság (első osztály)
144,Majstrovstvá sveta v ľadovom hokeji 1931,Mistrovství světa v ledním hokeji 1931,1931-es jégkorong-világbajnokság
145,NHL 1931/1932,NHL 1931/1932,1931-1932-es NHL-szezon
146,Serie A 1931/1932,Serie A 1931/32,1931-1932-es olasz labdarúgó-bajnokság (első osztály)
147,Zimné olympijské hry 1932,Zimní olympijské hry 1932,1932. évi téli olimpiai játékok
148,NHL 1932/1933,NHL 1932/1933,1932-1933-as NHL-szezon
149,Serie A 1932/1933,Serie A 1932/33,1932-1933-as olasz labdarúgó-bajnokság (első osztály)
150,Serie A 1933/1934,Serie A 1933/34,1933-1934-es olasz labdarúgó-bajnokság (első osztály)
151,Majstrovstvá sveta vo futbale 1934,Mistrovství světa ve fotbale 1934,1934-es labdarúgó-világbajnokság
152,Serie A 1934/1935,Serie A 1934/35,1934-1935-ös olasz labdarúgó-bajnokság (első osztály)
153,Majstrovstvá Európy v basketbale mužov 1935,Mistrovství Evropy v basketbalu mužů 1935,1935-ös férfi kosárlabda-Európa-bajnokság
154,Serie A 1935/1936,Serie A 1935/36,1935-1936-os olasz labdarúgó-bajnokság (első osztály)
155,Letné olympijské hry 1936,Letní olympijské hry 1936,1936. évi nyári olimpiai játékok
156,Zimné olympijské hry 1936,Zimní olympijské hry 1936,1936. évi téli olimpiai játékok
157,19367 Pink Floyd,Pink Floyd (planetka),19367 Pink Floyd
158,Serie A 1936/1937,Serie A 1936/37,1936-1937-es olasz labdarúgó-bajnokság (első osztály)
159,Majstrovstvá Európy v basketbale mužov 1937,Mistrovství Evropy v basketbalu mužů 1937,1937-es férfi kosárlabda-Európa-bajnokság
160,Serie A 1937/1938,Serie A 1937/38,1937-1938-as olasz labdarúgó-bajnokság (első osztály)
161,Majstrovstvá sveta v hádzanej mužov 1938,Mistrovství světa v házené mužů 1938,1938-as férfi kézilabda-világbajnokság
162,Majstrovstvá sveta vo futbale 1938,Mistrovství světa ve fotbale 1938,1938-as labdarúgó-világbajnokság
163,Majstrovstvá Európy v basketbale žien 1938,Mistrovství Evropy v basketbalu žen 1938,1938-as női kosárlabda-Európa-bajnokság
164,Serie A 1938/1939,Serie A 1938/39,1938-1939-es olasz labdarúgó-bajnokság (első osztály)
165,Majstrovstvá Európy v basketbale mužov 1939,Mistrovství Evropy v basketbalu mužů 1939,1939-es férfi kosárlabda-Európa-bajnokság
166,Serie A 1939/1940,Serie A 1939/40,1939-1940-es olasz labdarúgó-bajnokság (első osztály)
167,40. roky 20. storočia,1940-1949,1940-es évek
168,Serie A 1940/1941,Serie A 1940/41,1940-1941-es olasz labdarúgó-bajnokság (első osztály)
169,Serie A 1941/1942,Serie A 1941/42,1941-1942-es olasz labdarúgó-bajnokság (első osztály)
170,Serie A 1942/1943,Serie A 1942/43,1942-1943-as olasz labdarúgó-bajnokság (első osztály)
171,Majstrovstvá Európy v basketbale mužov 1946,Mistrovství Evropy v basketbalu mužů 1946,1946-os férfi kosárlabda-Európa-bajnokság
172,Serie A 1946/1947,Serie A 1946/47,1946-1947-es olasz labdarúgó-bajnokság (első osztály)
173,Majstrovstvá Európy v basketbale mužov 1947,Mistrovství Evropy v basketbalu mužů 1947,1947-es férfi kosárlabda-Európa-bajnokság
174,Majstrovstvá sveta v ľadovom hokeji 1947,Mistrovství světa v ledním hokeji 1947,1947-es jégkorong-világbajnokság
175,Serie A 1947/1948,Serie A 1947/48,1947-1948-as olasz labdarúgó-bajnokság (első osztály)
176,Majstrovstvá Európy vo volejbale mužov 1948,Mistrovství Evropy ve volejbale mužů 1948,1948-as férfi röplabda-Európa-bajnokság
177,Letné olympijské hry 1948,Letní olympijské hry 1948,1948. évi nyári olimpiai játékok
178,Zimné olympijské hry 1948,Zimní olympijské hry 1948,1948. évi téli olimpiai játékok
179,Serie A 1948/1949,Serie A 1948/49,1948-1949-es olasz labdarúgó-bajnokság (első osztály)
180,Majstrovstvá Európy v basketbale mužov 1949,Mistrovství Evropy v basketbalu mužů 1949,1949-es férfi kosárlabda-Európa-bajnokság
181,Majstrovstvá sveta vo volejbale mužov 1949,Mistrovství světa ve volejbale mužů 1949,1949-es férfi röplabda-világbajnokság
182,Majstrovstvá sveta v ľadovom hokeji 1949,Mistrovství světa v ledním hokeji 1949,1949-es jégkorong-világbajnokság
183,Serie A 1949/1950,Serie A 1949/50,1949-1950-es olasz labdarúgó-bajnokság (első osztály)
184,Majstrovstvá sveta v basketbale mužov 1950,Mistrovství světa v basketbalu mužů 1950,1950-es férfi kosárlabda-világbajnokság
185,Majstrovstvá Európy vo volejbale mužov 1950,Mistrovství Evropy ve volejbale mužů 1950,1950-es férfi röplabda-Európa-bajnokság
186,Majstrovstvá sveta vo futbale 1950,Mistrovství světa ve fotbale 1950,1950-es labdarúgó-világbajnokság
187,Majstrovstvá Európy v basketbale žien 1950,Mistrovství Evropy v basketbalu žen 1950,1950-es női kosárlabda-Európa-bajnokság
188,50. roky 20. storočia,1950-1959,1950-es évek
189,Serie A 1950/1951,Serie A 1950/51,1950-1951-es olasz labdarúgó-bajnokság (első osztály)
190,Majstrovstvá Európy v basketbale mužov 1951,Mistrovství Evropy v basketbalu mužů 1951,1951-es férfi kosárlabda-Európa-bajnokság
191,Majstrovstvá Európy vo volejbale mužov 1951,Mistrovství Evropy ve volejbale mužů 1951,1951-es férfi röplabda-Európa-bajnokság
192,Serie A 1951/1952,Serie A 1951/52,1951-1952-es olasz labdarúgó-bajnokság (első osztály)
193,Majstrovstvá sveta vo volejbale mužov 1952,Mistrovství světa ve volejbale mužů 1952,1952-es férfi röplabda-világbajnokság
194,Majstrovstvá Európy v basketbale žien 1952,Mistrovství Evropy v basketbalu žen 1952,1952-es női kosárlabda-Európa-bajnokság
195,Majstrovstvá sveta vo volejbale žien 1952,Mistrovství světa ve volejbale žen 1952,1952-es női röplabda-világbajnokság
196,Letné olympijské hry 1952,Letní olympijské hry 1952,1952. évi nyári olimpiai játékok
197,Serie A 1952/1953,Serie A 1952/53,1952-1953-as olasz labdarúgó-bajnokság (első osztály)
198,Majstrovstvá Európy v basketbale mužov 1953,Mistrovství Evropy v basketbalu mužů 1953,1953-as férfi kosárlabda-Európa-bajnokság
199,Majstrovstvá sveta v basketbale žien 1953,Mistrovství světa v basketbalu žen 1953,1953-as női kosárlabda-világbajnokság
200,Serie A 1953/1954,Serie A 1953/54,1953-1954-es olasz labdarúgó-bajnokság (első osztály)
201,Majstrovstvá sveta v hádzanej mužov 1954,Mistrovství světa v házené mužů 1954,1954-es férfi kézilabda-világbajnokság
202,Majstrovstvá sveta vo futbale 1954,Mistrovství světa ve fotbale 1954,1954-es labdarúgó-világbajnokság
203,Majstrovstvá Európy v basketbale žien 1954,Mistrovství Evropy v basketbalu žen 1954,1954-es női kosárlabda-Európa-bajnokság
204,Serie A 1954/1955,Serie A 1954/55,1954-1955-ös olasz labdarúgó-bajnokság (első osztály)
205,Majstrovstvá Európy v basketbale mužov 1955,Mistrovství Evropy v basketbalu mužů 1955,1955-ös férfi kosárlabda-Európa-bajnokság
206,Majstrovstvá Európy vo volejbale mužov 1955,Mistrovství Evropy ve volejbale mužů 1955,1955-ös férfi röplabda-Európa-bajnokság
207,Serie A 1955/1956,Serie A 1955/56,1955-1956-os olasz labdarúgó-bajnokság (első osztály)
208,Eurovision Song Contest 1956,Eurovision Song Contest 1956,1956-os Eurovíziós Dalfesztivál
209,Maďarské povstanie,Maďarské povstání,1956-os forradalom
210,Majstrovstvá sveta vo volejbale mužov 1956,Mistrovství světa ve volejbale mužů 1956,1956-os férfi röplabda-világbajnokság
211,Majstrovstvá Európy v basketbale žien 1956,Mistrovství Evropy v basketbalu žen 1956,1956-os női kosárlabda-Európa-bajnokság
212,Majstrovstvá sveta vo volejbale žien 1956,Mistrovství světa ve volejbale žen 1956,1956-os női röplabda-világbajnokság
213,Letné olympijské hry 1956,Letní olympijské hry 1956,1956. évi nyári olimpiai játékok
214,Serie A 1956/1957,Serie A 1956/57,1956-1957-es olasz labdarúgó-bajnokság (első osztály)
215,Eurovision Song Contest 1957,Eurovision Song Contest 1957,1957-es Eurovíziós Dalfesztivál
216,Majstrovstvá Európy v basketbale mužov 1957,Mistrovství Evropy v basketbalu mužů 1957,1957-es férfi kosárlabda-Európa-bajnokság
217,Majstrovstvá sveta v basketbale žien 1957,Mistrovství světa v basketbalu žen 1957,1957-es női kosárlabda-világbajnokság
218,Majstrovstvá sveta v hádzanej žien 1957,Mistrovství světa v házené žen 1957,1957-es női kézilabda-világbajnokság
219,Serie A 1957/1958,Serie A 1957/58,1957-1958-as olasz labdarúgó-bajnokság (első osztály)
220,Majstrovstvá sveta v hádzanej mužov 1958,Mistrovství světa v házené mužů 1958,1958-as férfi kézilabda-világbajnokság
221,Majstrovstvá Európy vo volejbale mužov 1958,Mistrovství Evropy ve volejbale mužů 1958,1958-as férfi röplabda-Európa-bajnokság
222,Majstrovstvá sveta vo futbale 1958,Mistrovství světa ve fotbale 1958,1958-as labdarúgó-világbajnokság
223,Majstrovstvá Európy v basketbale žien 1958,Mistrovství Evropy v basketbalu žen 1958,1958-as női kosárlabda-Európa-bajnokság
224,Serie A 1958/1959,Serie A 1958/59,1958-1959-es olasz labdarúgó-bajnokság (első osztály)
225,Majstrovstvá Európy v basketbale mužov 1959,Mistrovství Evropy v basketbalu mužů 1959,1959-es férfi kosárlabda-Európa-bajnokság
226,Majstrovstvá sveta v basketbale žien 1959,Mistrovství světa v basketbalu žen 1959,1959-es női kosárlabda-világbajnokság
227,Serie A 1959/1960,Serie A 1959/60,1959-1960-as olasz labdarúgó-bajnokság (első osztály)
228,Majstrovstvá sveta vo volejbale mužov 1960,Mistrovství světa ve volejbale mužů 1960,1960-as férfi röplabda-világbajnokság
229,Majstrovstvá Európy vo futbale 1960,Mistrovství Evropy ve fotbale 1960,1960-as labdarúgó-Európa-bajnokság
230,Majstrovstvá Európy v basketbale žien 1960,Mistrovství Evropy v basketbalu žen 1960,1960-as női kosárlabda-Európa-bajnokság
231,Majstrovstvá sveta vo volejbale žien 1960,Mistrovství světa ve volejbale žen 1960,1960-as női röplabda-világbajnokság
232,60. roky 20. storočia,1960-1969,1960-as évek
233,Letné olympijské hry 1960,Letní olympijské hry 1960,1960. évi nyári olimpiai játékok
234,Serie A 1960/1961,Serie A 1960/61,1960-1961-es olasz labdarúgó-bajnokság (első osztály)
235,Majstrovstvá Európy v basketbale mužov 1961,Mistrovství Evropy v basketbalu mužů 1961,1961-es férfi kosárlabda-Európa-bajnokság
236,Majstrovstvá sveta v hádzanej mužov 1961,Mistrovství světa v házené mužů 1961,1961-es férfi kézilabda-világbajnokság
237,Serie A 1961/1962,Serie A 1961/62,1961-1962-es olasz labdarúgó-bajnokság (első osztály)
238,Majstrovstvá sveta vo volejbale mužov 1962,Mistrovství světa ve volejbale mužů 1962,1962-es férfi röplabda-világbajnokság
239,Majstrovstvá sveta vo futbale 1962,Mistrovství světa ve fotbale 1962,1962-es labdarúgó-világbajnokság
240,Majstrovstvá Európy v basketbale žien 1962,Mistrovství Evropy v basketbalu žen 1962,1962-es női kosárlabda-Európa-bajnokság
241,Majstrovstvá sveta v hádzanej žien 1962,Mistrovství světa v házené žen 1962,1962-es női kézilabda-világbajnokság
242,Serie A 1962/1963,Serie A 1962/63,1962-1963-as olasz labdarúgó-bajnokság (első osztály)
243,Majstrovstvá Európy v basketbale mužov 1963,Mistrovství Evropy v basketbalu mužů 1963,1963-as férfi kosárlabda-Európa-bajnokság
244,Majstrovstvá Európy vo volejbale mužov 1963,Mistrovství Evropy ve volejbale mužů 1963,1963-as férfi röplabda-Európa-bajnokság
245,Serie A 1963/1964,Serie A 1963/64,1963-1964-es olasz labdarúgó-bajnokság (első osztály)
246,Majstrovstvá sveta v hádzanej mužov 1964,Mistrovství světa v házené mužů 1964,1964-es férfi kézilabda-világbajnokság
247,Majstrovstvá Európy vo futbale 1964,Mistrovství Evropy ve fotbale 1964,1964-es labdarúgó-Európa-bajnokság
248,Majstrovstvá Európy v basketbale žien 1964,Mistrovství Evropy v basketbalu žen 1964,1964-es női kosárlabda-Európa-bajnokság
249,Majstrovstvá sveta v basketbale žien 1964,Mistrovství světa v basketbalu žen 1964,1964-es női kosárlabda-világbajnokság
250,Letné olympijské hry 1964,Letní olympijské hry 1964,1964. évi nyári olimpiai játékok
251,Zimné olympijské hry 1964,Zimní olympijské hry 1964,1964. évi téli olimpiai játékok
252,Serie A 1964/1965,Serie A 1964/65,1964-1965-ös olasz labdarúgó-bajnokság (első osztály)
253,Majstrovstvá Európy v basketbale mužov 1965,Mistrovství Evropy v basketbalu mužů 1965,1965-ös férfi kosárlabda-Európa-bajnokság
254,Majstrovstvá sveta v hádzanej žien 1965,Mistrovství světa v házené žen 1965,1965-ös női kézilabda-világbajnokság
255,Serie A 1965/1966,Serie A 1965/66,1965-1966-os olasz labdarúgó-bajnokság (első osztály)
256,Majstrovstvá sveta vo volejbale mužov 1966,Mistrovství světa ve volejbale mužů 1966,1966-os férfi röplabda-világbajnokság
257,Majstrovstvá sveta v ľadovom hokeji 1966,Mistrovství světa v ledním hokeji 1966,1966-os jégkorong-világbajnokság
258,Majstrovstvá sveta vo futbale 1966,Mistrovství světa ve fotbale 1966,1966-os labdarúgó-világbajnokság
259,Majstrovstvá Európy v basketbale žien 1966,Mistrovství Evropy v basketbalu žen 1966,1966-os női kosárlabda-Európa-bajnokság
260,Serie A 1966/1967,Serie A 1966/67,1966-1967-es olasz labdarúgó-bajnokság (első osztály)
261,Majstrovstvá Európy v basketbale mužov 1967,Mistrovství Evropy v basketbalu mužů 1967,1967-es férfi kosárlabda-Európa-bajnokság
262,Majstrovstvá sveta v hádzanej mužov 1967,Mistrovství světa v házené mužů 1967,1967-es férfi kézilabda-világbajnokság
263,Majstrovstvá Európy vo volejbale mužov 1967,Mistrovství Evropy ve volejbale mužů 1967,1967-es férfi röplabda-Európa-bajnokság
264,Majstrovstvá sveta v basketbale žien 1967,Mistrovství světa v basketbalu žen 1967,1967-es női kosárlabda-világbajnokság
265,NHL 1967/1968,NHL 1967/1968,1967-1968-as NHL-szezon
266,Serie A 1967/1968,Serie A 1967/68,1967-1968-as olasz labdarúgó-bajnokság (első osztály)
267,Majstrovstvá Európy vo futbale 1968,Mistrovství Evropy ve fotbale 1968,1968-as labdarúgó-Európa-bajnokság
268,Majstrovstvá Európy v basketbale žien 1968,Mistrovství Evropy v basketbalu žen 1968,1968-as női kosárlabda-Európa-bajnokság
269,Letné olympijské hry 1968,Letní olympijské hry 1968,1968. évi nyári olimpiai játékok
270,Zimné olympijské hry 1968,Zimní olympijské hry 1968,1968. évi téli olimpiai játékok
271,NHL 1968/1969,NHL 1968/1969,1968-1969-es NHL-szezon
272,Serie A 1968/1969,Serie A 1968/69,1968-1969-es olasz labdarúgó-bajnokság (első osztály)
273,Majstrovstvá Európy v basketbale mužov 1969,Mistrovství Evropy v basketbalu mužů 1969,1969-es férfi kosárlabda-Európa-bajnokság
274,Majstrovstvá sveta v ľadovom hokeji 1969,Mistrovství světa v ledním hokeji 1969,1969-es jégkorong-világbajnokság
275,Pohár víťazov pohárov 1968/1969 - Finále,Finále Poháru vítězů pohárů 1968/69,1969-es kupagyőztesek Európa-kupája-döntő
276,NHL 1969/1970,NHL 1969/1970,1969-1970-es NHL-szezon
277,Serie A 1969/1970,Serie A 1969/70,1969-1970-es olasz labdarúgó-bajnokság (első osztály)
278,Majstrovstvá sveta v hádzanej mužov 1970,Mistrovství světa v házené mužů 1970,1970-es férfi kézilabda-világbajnokság
279,Majstrovstvá sveta vo volejbale mužov 1970,Mistrovství světa ve volejbale mužů 1970,1970-es férfi röplabda-világbajnokság
280,Majstrovstvá sveta vo futbale 1970,Mistrovství světa ve fotbale 1970,1970-es labdarúgó-világbajnokság
281,Majstrovstvá Európy v basketbale žien 1970,Mistrovství Evropy v basketbalu žen 1970,1970-es női kosárlabda-Európa-bajnokság
282,70. roky 20. storočia,1970-1979,1970-es évek
283,NHL 1970/1971,NHL 1970/1971,1970-1971-es NHL-szezon
284,Serie A 1970/1971,Serie A 1970/71,1970-1971-es olasz labdarúgó-bajnokság (első osztály)
285,Majstrovstvá Európy v basketbale mužov 1971,Mistrovství Evropy v basketbalu mužů 1971,1971-es férfi kosárlabda-Európa-bajnokság
286,Majstrovstvá Európy vo volejbale mužov 1971,Mistrovství Evropy ve volejbale mužů 1971,1971-es férfi röplabda-Európa-bajnokság
287,Majstrovstvá sveta v basketbale žien 1971,Mistrovství světa v basketbalu žen 1971,1971-es női kosárlabda-világbajnokság
288,Majstrovstvá sveta v hádzanej žien 1971,Mistrovství světa v házené žen 1971,1971-es női kézilabda-világbajnokság
289,NHL 1971/1972,NHL 1971/1972,1971-1972-es NHL-szezon
290,Serie A 1971/1972,Serie A 1971/72,1971-1972-es olasz labdarúgó-bajnokság (első osztály)
291,Eurovision Song Contest 1972,Eurovision Song Contest 1972,1972-es Eurovíziós Dalfesztivál
292,Majstrovstvá sveta v ľadovom hokeji 1972,Mistrovství světa v ledním hokeji 1972,1972-es jégkorong-világbajnokság
293,Majstrovstvá Európy vo futbale 1972,Mistrovství Evropy ve fotbale 1972,1972-es labdarúgó-Európa-bajnokság
